label,text
2.0,รัฐจงใจแถลงงง คนฟัง
1.0,พลังงานนิวเคลียร์สันติ ไทย 
1.0,สวัสดี
1.0,สรุป พรุ่งนี้  สรุป อีกที หรา? ผู้ว่าฯ
2.0,คนฟังคำตอบเซ็งวัยรุ่นกดงง  สิ
2.0,สมอง
2.0,เฮ้อกะลาแลน๋.....
0.0,อย่าวิตกจรวด
2.0,ไม่ต้องวิตก...ตายอนาถในประเทศกะลาแลนด์
2.0,แถลงใจเย็นเหมือนอันตรายซะงั้น
1.0,ฝนตก
1.0,สวัสดีเฮียยุทธ&น้องไบร์ท
1.0,Bloomington Illinois USA สวัสดี
2.0,ออสเตรเลีย ถนน ร้อยกิโลหา ไทยชาวบ้านเตรียมกรรม
2.0,เหนื่อย caesium ฟังไม่ขึ้น
1.0,สวัสดี
1.0,ตกร้อน
1.0,ผ้าใบคลุมเหมือนหาบเร่แพงลอย
2.0,ขนาด หลุดออกมา ?
2.0,เปนรัยตายผ่อนส่งประเทศ
1.0,วานุชมัน
1.0,ประยุทธยุบสภา
2.0,เรื่องวิตกวิตก ปล่อยข้าม โดยเฉพาะการ์ณแบบนี้
1.0, ตก แน่ วิ
2.0,กัมมันตรังสีโง่แบบนี้แผ่รังสีเหมือนเดิม
2.0,วันที่หาย อันตราย ข่าว
2.0,? /? /รับผิดชอบ?
2.0,ตระหนกตกใจ ดีกว่ารับรู้ อันตราย
1.0,งง
2.0,สาระเลว
2.0,เวทนา
1.0,ประยุทธยุบสภาเด้อ
2.0,พ่อ ข่มขืน ลูก
1.0,Good morning everyone
2.0,ชาวบ้านรวมตัวฟ้องห หาต้นตอ
1.0,เฮ้ออ..กามอีกแล้ว..!!
2.0,ทำงานเช้าชามเย็นชาม
2.0,พ่อบัดซบ
1.0,สวัสดีอังคาร..ทุกท่าน 《 แฟนข่าว 》
1.0,รอฟังข่าวการเงิน
2.0,ชาติหามแท้ๆ
2.0,ประเทศศีลธรรม พ่อข่มขืนลูก ดี
2.0,สับๆๆๆๆๆ
2.0,อุบาท
0.0,ขอให้ปราจีนพื้นที่ใกล้เคียงปลอดภัย(แฟนข่าว)
2.0,บัดซบ 
1.0,ชีวิตประจำวันจบเกม ชะเอมเทศสะกิล
2.0,เลว พ่อ  ตัด
2.0,ขาติชั่งจิง
1.0,เรื่อง  ต่างประเทศ เรื่องๆ..ประเทศไทย.ทำเป็นเล่น.
1.0,ขอนแก่นฝนตก  (แฟนข่าว)
2.0,มั่นใจ
1.0,พ่ปลอม
2.0,ปัญหา ครอบครัว   ปัญหา สังคม
1.0,เฮียเดย์พันธ์ติดคุก4ปีออกมาลั้นลาน้อง2คนตราบาปติดชีวิต
2.0,หดหู่
0.0,พ... ศ.... สอนรักคัรบ(วิทยา... สุขรมย์)
2.0,เลว ส
1.0,ของเล่นปากกาจิ้มหมุนวน
2.0,บัดซบ..เลว
2.0,พ่อเลวสัตว็นรก
2.0,ทน  
1.0,พ่อแท้ๆ
2.0,คุก
2.0,หมา หมารู้จักแม่
2.0,อ้าวไอ้ป้า
2.0,เฮ้อ ถอนหายใจ
2.0,เห้จิงๆ
2.0,อย่าเจอคนแบบนี้
1.0,ล
1.0,ข่าวแบบนี้ล่ะ
2.0,โคตรทราม คน
1.0,รู้เห็นเป็นใจ
1.0,แถว กลัว กลบฝัน แหล่งน้ำ สิบปี
1.0,บ้าน รวมตัว  
2.0,ป้าเข้าข้างพี่น้องตัวเองป่าว
0.0,ชื่นชมตำรวจ 191 ดีดี ทั้งสองท่าน
0.0,โชคดีเจอตำรวจ ตั้งใจทำงาน
2.0,ไว้ใจ พ่อ คนอื่นอย่าหวัง
2.0,พ่อ  แบบนี้
2.0,ชาติชั่ว
2.0,พ่อกราบเท้าขอโทษลูกสาวดี พ่อจัญไรแบบนี้..
1.0,สาธุ
2.0,คน
2.0,เซนเซอร์
2.0,เลวบรรยาย
1.0,พ่อแอบหลงรักลูกตัวเอง
2.0,สังคมเสื่อมทรามหอยกิเลสตัณหาครอบงำชีวิตคนคน
2.0,พ่อสัตว์
2.0,ชาติชั่ว 
2.0,เดรัจฉาน
2.0,สารเลว
2.0,พ่อถ่าย..ขายคลิป..ชั่ว
2.0,จังไร
2.0,สารเลว
1.0,หน้าที่ตำรวจอยู่แล้วแหล่ะ
2.0,สัตว์นรก
2.0,เลว.เพลอหน้าคนเลว
2.0,โครตรทุเรศ
2.0,เลว
1.0,ปิดหน้า
2.0,ทำได้
2.0,เหมือนสัตว์เดรัจฉานเลือก
2.0,ใจสัวต์
2.0,เ ล ว ช า ติ..
2.0,หดหู่
0.0,สติสาธุ
2.0,ชั่ว ทำ
1.0,ข่าวแบบนี้
0.0,ชื่นชมตำรวจเหลิอน้องกำลังใจน้อง
1.0,หนังAVเซ็นเซอร์เซ้นเซอร์ อิอิ
2.0,เลวหมา
2.0,เลว สงสารน้องๆ :(
2.0,อี 
1.0,ยุบยุบดี ยุบตอนนี้ ยุบดีแล้ว(แฟนข่าว)
2.0,ยุคสัตว์ร่างคน
2.0,ชิงหมาเกิด
2.0,สายหื่น รอด
2.0,สารเลว ประหาชีวิต ใหร่กฎหมายแบบนี้
0.0,ขอบคุณตำรวจ191 ทั้งสองท่าน นิ่งดูดาย
1.0,ฮอดความเก่าตั่งบ่าวเป็นสาวไหม่
2.0,หื่นกามลูก
2.0,เลว
2.0,เห้ เอ้ย
2.0,เลวไอ้พ่อแบบนี้สมควรติดคุก
2.0,ยุคอุบาท
2.0,ชั่ว
2.0,ลูกตัวเองแท้ๆทำ
2.0,โคตรเลว
1.0,รู้ดี
2.0,เซนเซอร์
2.0,เลวววววววว
2.0,คนชั่ว ปิดหน้า
2.0,อย่าเรื่องตัวเองพ่อไอ้สวะ
2.0,สัตว์นรกเลว
2.0,เดนมนุษย?
1.0,ลอยพ่อ
2.0,พื้นที่สังคม หน้าม้น
1.0,หนู บ้านดีกว่า ระวังน๊ะ ตำรวจคลิปขายต่อ แน่ๆ
2.0,
2.0,พ่อยาบ้าล่ะกะมั่ง
2.0,คนระยำบัดซบ แบบนี้ ประเทศ
2.0,สังคมเสื่อมทราม
2.0,เลว
1.0,อ้าย
2.0,ขะยะขะแยง
2.0,เลวคนร่างกายจิตใจสัตย์เดรฉาน
2.0,เลวระยำ หนัก กฎหมายต้อองลงโทษหนัก เข้าไปคนข้างในหนัก
2.0,เลว
2.0,คนบ้ากามทำลูกสาวตัวเองลงคอ
2.0,กน้าคนเห้ๆแบบนี้
2.0,เบลอหน้าไอ้คนเลวแบบนี้
2.0,สัตว์นรก
2.0,ใอ้โคจิต
1.0,หน้า
1.0,ลูกสาวพ่อ
1.0,อีแม่ ตัวดี ลูก
2.0,เดนนรกของจริง สงสารเด็ก
1.0,เหล้ายา
2.0,สัตว์
1.0,ปิดหน้ารู้น้องเซพน้อง
2.0,เลว
0.0,ชมตำรวจ เรื่อง ทำดีมาก
1.0,
2.0,คนปะฟะ
2.0,พ่อดีกว่า
2.0,เบอร์หน้าแบบนี้เ
2.0,ยุคอุบาท เสื่อมทราม..
2.0,ชาตชั่ว
2.0,สงสารน้อง
2.0,เลวนายกหรอ
2.0,โดนรุมประชาทัณฑ์
0.0,สวัสดีดีมีความสุข
1.0,โทษหนักกกกก
0.0,ปิดหน้าดีแล้ว สงสารเด็ก
1.0,ยามีส่วนแน่ๆ
1.0,นรกเด็ก
2.0,สัตว์นรก
2.0,ชั่วขนาด ลูกตัวเองแท้ๆ นรก
1.0,คนร้ายเต้นัด
2.0,ห 
2.0,เลวๆๆ
2.0,เห้อ
2.0,ชื่นชมเข้าข้าง.?!!
1.0,เวรกรรมเวรกรรม
2.0,ตราบาปตลอดชีวิต
0.0,ตำรวจ2ทำงาน
1.0,ตามรอยพ่อบ้านใหญ่
0.0,น่าสงสาร
2.0,สารเลว
2.0,เลวมนุษย์
0.0,สงสารจับใจ
1.0,นั่นสิ
2.0,ระยำ
2.0,พ่อแท้ๆเลว
1.0,บังหน้า
1.0,เปลี่ยนไปข่าว
2.0,ชั่ว
1.0,คุก ป้อ
0.0,น่าสงสารน้องบ้าง่าวด่าคววยๆฉลาด
1.0,ภาพ ยุบสภา  สี ข่าว ป่าว?
1.0,เต้นัด
2.0,สังคมเสื่อม
2.0,บ้าเนาะอั้ยคน
2.0,แรง  เลวไหม 
1.0,ปิดหน้าแปลกคนร้ายควรจะหน้าตัวประชนเห็นชัดๆดั้วย
0.0,ชมตำรวจมองผ่าน
1.0,18+
2.0,หมาชัด
1.0,พี่สาว พ่อ .. คนดี เปล่า.?
2.0,พ่อบัดซบขนาด
1.0,พิมปกติ
2.0,ระยำ
2.0,เลวร้าย
1.0,คน สัตว์
1.0,เลิกกฏเซ็นเซอร์หน้าคนเลวสักที
2.0,หมาดีกว่า
2.0,เลวทรามๆๆ
0.0,ตำรวจหล่อ
2.0,ชั่ว
0.0,ตำรวจหล่อ
0.0,สงสาร เด็ก
2.0,สัตว์นรกชัด
2.0,ชั่ว
1.0,ฝากผู้ต้องขังชายพ่อจัญ..สักหมื่นดอก
2.0,เบอร์หน้าประจานด่วน
1.0,แม่เด็กรู้เรื่อง
2.0,ไอ้งามใส้
2.0,ทำได้ยีงเลวๆๆ
1.0,
0.0,น่าสงสาร
0.0,ตำรวจหล่อเนอะ
1.0,...สิทธืทำร้าย...เดี๋ยว....เ..ว
2.0,เลวถึงที่สุด คนแบบนี้สมควรจะเป็นพ่อคน แม่ดูแลลูก เหรอ รู้หรือว่าลูกนรก
2.0,เลว
2.0,ตายทรมาน สาธุ
0.0,ชื่นชมยกย่องตำรวจเข้าไปน้อง
2.0,ขอให้ค. เน่า
2.0,ระยำ
1.0,คุกจมตีนแน่ๆ ลุง
1.0,ฝ
1.0,Ni  Ni  คนดีพ่อ
2.0,อุบามว์พ่อ
1.0,ครอบครัว
1.0,ไมซักข่าวแบบนี้เรื่องแบบนี้(คนทำกลัว
2.0,เลวสัตว์
2.0,แย่มาก
1.0,รุ้ข้ามอยุ่สิบเอ็ด
2.0,คนวะ
1.0,อายุ13
1.0,ตำรวจเกาหลี
1.0,สิ้นเรื่องแบบนี้
2.0,ระยำ 
1.0,นั่งสมาธิเดิ้งไอ้ทิด
2.0,ครอบครัวเห้ๆ
2.0,ญาติแม่งเลว
1.0,4ปี
2.0,สัตว์นรก
2.0,เลว
1.0,ตามรอยพ่อ ป่ะ?
1.0,สัตว์เดรัจฉานรักลูก
2.0,ระยำ
2.0,ไอ้........
1.0,ไอ่พี่
0.0,หลุดโฟกัส รวจ หล่อ....!!!
2.0,จังไรแมน
2.0,เลว
2.0,บ้ากาม
2.0,หมาชัด
2.0,เดรฉาน
0.0,ตำรวจดียังมี
1.0,เบลอหน้าชั่ว
1.0,พ่อทำ ลูกฆ่าพ่อ ฆ่าลงคอท่านตำรวจ
1.0,เย็บตำนาน
2.0,ออกกฎหมายลงโทษ...แรงๆๆๆ
1.0,น้อวเอ๋ยพ่อแบบนี้ตัดออก
0.0,ตร.ดี ยกย่อง
2.0,ชั่วๆๆๆ
1.0,ขนาดลูกแท้ๆ
2.0,อัปปรีย์ ทำลูกแบบนี้ เลวววววววววว!!! หัวใจลูก ทุกข์ทรมานใจขนาด รู้ไม๊!?!
1.0,แน้ๆ
0.0,ชื่นชมตำรวจมีไหวพริบ ขอให้เลื่อนขั้นทั้งสอง
1.0,สงสารลูก
0.0,จิตใจน้องฟื้นฟู สงสารน้อง
2.0,ชิงเปรต
0.0,สงสาร ลูกแท้ๆ ลุกเลี้ยงโดนคับ ข่มขื่นหนักๆๆ
2.0,หนัก.
2.0,ทำได้ เยี่ยงสัตว์เดรัจฉาน สงสารเด็ก
1.0,สวัสดี
1.0,แก้กฏหมายปกปิดหน้าคนร้ายสักที
1.0,หลักฐานขนาด
2.0,พ่อระยำแบบนี้ หนัก
1.0,พ่อโดนรุมอัดตูด
2.0,สัตวืนรกของแท้
2.0,สัตว์นรกคราบมนุษย์
1.0,แก้ว
0.0,ตำรวจดีดี  ตำรวจ 191  2 ท่านในประเทศ 
1.0,คนพ่อ สำนึก
2.0,กรณีแบบนี้ขังชีวิต..คนพ่อเลวขนาด
2.0,กฏหมายก็ช่างคุ้มครองคนเลวแทนที่จะประจาน
1.0,จิตใจเด็ก
1.0,อีนังป้า รู้เห็นเป็นใจ
2.0,เลว ชั่วช้า ต่ำทราบ
0.0,พ่อ ป้า
1.0,สุดท้ายครอบครัวเซฟโซนสำหลับ
1.0,อย่าคนมีนเดรัสฉาน
1.0,คุกเปลือง
2.0,อิแม่รู้สึก ผัวมั้ง
1.0,สัตว็รังแกลูกไอ้.....
1.0, พ่อแท้ๆ
1.0,
1.0,ข่าวข่มขืนลูก ปิดหน้า
1.0,ลพบุรี
1.0,ขับจริง ๆ
1.0,ข่มขืนผู้สืบสันดานบทหนักข่มขืนรึเปล่า 
2.0,สัตเดียรฉาน
1.0,รถ บรรทุก โดนตี หัว?
1.0, ขัง ปล่อย งัย นนสารเลส
1.0,สน.
1.0,แบบนี้ ถึงกัน เด็กออกจากบ้านไปหาที่อยู่มีครอบครัว
0.0,ประจานพ่อเค้ารู้สิลูก สงสารน้อง
1.0,อ่วม อรทัย
1.0,เฒ่าแก่เจ๊ง
1.0,ตีน ตา
2.0,เดนนรก
1.0,
1.0,21โว้ย
1.0,ขับความเคยชิน
1.0,สวัสดีพี่ยุทธพี่
1.0,พี่ยุทธ ไบรท์
2.0,พังพินาศ ชิกไห ควายขับรถ!?! เสียหาย ชดใช้ได้ไม๊เฮ้ย!!!
2.0,ลุงยุด แย่ง  ฟังรู้เรื่งย
2.0,ยุคนเลวขนาดไวัใจลูกอานาดใจแท้ๆ
1.0,แสน
1.0,กั้นอ่อ
1.0,ข่าวแบบนี้ ไห้เพราะอะไร
1.0,..ยึดใบขับขี่......
2.0,ห้าม
1.0, กลางสะพาน
1.0,กับดัก
2.0,ผิดที่ ท
1.0,เชียงกงคุ้นๆ
1.0,สักขับ
0.0,หน้ารัก
1.0,พระราม2
2.0,ป้ายเตือนเหรอ ป้ายเตือน  
2.0,ไว้ใจล่ะขนาด พ่อ ตัวเองไว้ใจ
1.0,สุดท้ายแน่
1.0,น้องรู้ไหมประเทศ  หน่วยงานรัฐสวัสดิภาพเด็กเยาวชน
2.0, ท
1.0,รถปกติ
1.0,ติดป้ายเตือนสิ
2.0,ใว้พ่อหน้ายากินตายเจ้ากรรมนายเวรตามมา
1.0,ผิดที่ คนติดตั้ง  ติดตั้ง  สะพาน
1.0,  3 เมตร  ลดสเป็ก อ่ะมั้ง? หวาน
1.0,ไบรท์นักข่าวรองยุทธธรรมดา
1.0,ป้าย
1.0, ติดสะพาน
1.0,ป้ายจำกัดความสูงติดตั้งแต่ต้นทางโน้นติดสะพาน
2.0,ชาวบ้านเดือดร้อน ขับชินเคยตัว !!
1.0,ป้ายเตือนบอก.
2.0,น้ำหนัก ออกแบบ รถบรรทุก
1.0,ติดป้ายไฟ
1.0,ต่ำ. 5เมตรดิ
1.0,ราชวินิตแก้ว ลูกบอล
2.0,จ้างขับ รู้ตัวเอง
1.0,คาน..3 ล้าน...
2.0,"สรุป,,,โง่,,,ดีใม่ตาย,,,ประกันจ่ายสิ"
1.0,โดนพี่เอกราชดุ555
1.0,",555"
1.0, ลุงตู่
1.0,รถบรรทุกวงเงินประกันล้าน
1.0,ร่วงรอแร้ว
2.0,คุกนักโทษ
1.0,ม่อ วันที่ 17 ไม่ต้องรีบ
1.0,เมกาบางนา ติดทางด่วน จำกัดความสูง
1.0,วันเกิดบุคคล
1.0, ไม้ยูคา ทำคาน สิ
1.0,ลุงตู่จบ
1.0,ติด  ตัว  สะพาน  ติดตั้ง กลาง สะพาน ท เต็ม
1.0,ระเบิดเวลา คอนเต้
1.0,คนขับ มองไม่เห็น ป้ายจำกัดความสูง
2.0,ผิดที่ทำทางด่วน เตี้ย ท้องเกอร์เดอร์  50 เมตร
2.0,คอนเต้นักเตะนิหว่า โทษคนตัวเองเลือก
1.0,พัฒนาการ ติด  สะพาน
0.0,สอนเด็กสิทธิส่วนบุคคลป่ะ เด็กรู้ ประเด็นเด็กรู้กรณีปัญหาตัวเองป่ะ
1.0,กดหางาน
1.0,แล้วจะทำค้านทำใม
1.0,อ้าว...ดูอยู่ดีๆ พูดถึงบอลวะ .งง
1.0,คอนเต้คลั่งล่ะ
2.0,เจ้าของบริษัทปวดหัวลุกน้องแบบนี้ทำงานประมาทแบบนี้รับผิดชอบไหว
2.0,ทำมั้นยุทรแย่งคุญไบร์อ่านข่าวแย่งฟังดี
1.0,คานต่ำ รถสุง
0.0,วันดี
1.0,กุนซือเสือกรักษาใว้ 555+
1.0,จุ๊ จุ๊ HBD อหต ?
1.0,ลุงตู่ รอดูลูกน้อง สว แผลงฤทธิ์
1.0,แมนฯยู
1.0,โห คอนเต้ ขี้เหนียว นัง ชั้น อิโคโนมี่
1.0,กีฬา
1.0,ม
1.0,กุนซื่อเก่งอังกฤษ
1.0,  ติดกี่
0.0,เครียจ
0.0,ข่าวกีฬา
1.0,แมนยู มะเทพ
1.0,ดี ไบรตั้นซัก 70 ล้านปอน์ด
1.0,หลานแบบนี้ กม7 ตายแน่
0.0,กุนซือคนอื่นนั่ง เฟิร์สคลาส
0.0,ควรจะหลักสูตรการสอนเรื่องสิทธิละเมิดสิทธิ หน่วยงานช่วยเหลือ
1.0,เต้ -  พ.ก.ท. 11
2.0,ติดห่า กลาง สะพาน   ริด รถติด เป็ฯ กิโลหรอ 
1.0,เจ..ลึก..ญี่ปุ่น..เล่น......โค้ช..มั่นใส่........
1.0,คอนเต้ นั่ง Economi
2.0,กลับรถ
1.0,ข่าวหลากหลาย
1.0,ไทยแลนด์ ปู๊น ปู๊น
1.0,พี่เผ
1.0,พริ้วออโต้
1.0,ไทย ยังมีฟุตบอลเหรอ.
1.0,HBD อหต
2.0,คนขับปัญญานิ้มเจอ
0.0,พลังบังเกิดแด่
1.0,อย่าคาดหวังบอลไทย
1.0,อาแปะ
1.0,อาเซนอล หนาวมว๊ากก
1.0,ทีม ชาติ ท่าเรือ
1.0,ช
2.0,ขับดูป้ายเตือนม้ง
2.0,ชาติหน้าไทยรู้บอลโลกไหม
0.0,ดด
0.0,เก่งงงงง
1.0,แพทองธาร...นายกฯ..หญิง...คนต่อไป 8 ปี....
1.0,ขุนอินทร์
1.0,ยุค ตู่ ฟุตบอล ล้าหลัง
1.0,จางวางเอก
1.0,ซีเซียม 137
2.0,แสบแก้วหู
2.0,ข่าวแย่แน่ๆยุบสภา
1.0,หูทิพย์
0.0,เก่งโคตร
0.0,สุดยอดด
1.0,แบบนี้
0.0,เก่ง
1.0,ตาตีระนาด
1.0,กลัวโดนด่าโดนปลดผู้ว่าแถลงการณ์แบบนี้
2.0,รู้จัก
1.0,ระนาด ระวัง โดนเคลม  เขมร 
1.0,ไก่ย่าง ห้าดาวทำแสบ
0.0,เก่งกกกก
1.0,โหมโลง.
1.0,บ้าน เลี้ยงเป็ดไล่ทุ่ง
0.0,เก่ง
0.0,เด็กปิดไฟตีระนาด ข่มขวัญผู้ใหญ่
0.0,คนที่เกิดไทยสงบสุข8ปีกว่าแล้ว
0.0,ยินดี ดนตรีไทย ตื่นขึ้น
0.0,Amazing
1.0,ท่าจกไหม5555
1.0,ทำคนสัญญาณเตือน กม7
0.0,ดนตรีไทย.ตาย .สาธุๆ^^
0.0,สุโดยอด
0.0,ขุนอินทร์
0.0,สุดยอดเลนนนครัชชชผล
0.0,ขนลุก
1.0,อย่าตี ตู่ฟัง ฟังร้ดูเรื่องหลอก
0.0,ยุคอย่าอย่าหาข่าวดี...เวลาต้องิยู่เรื่องร้าย เรียนรู้ความจริง ความจริงโหดร้าย
0.0,ชอบเสียงระนาด
0.0,ยอด
0.0,ศิลปินอนาคต
0.0,สุดยอด
2.0,เค้าบ้านผมหรอกพี่ บ้าป่าว
0.0,น้องเก่ง
0.0,หาเด็กแบบนี้เก่งลูก
0.0,อภิชาตบุตร
0.0,สมาธิ
0.0,เก่ง ตาตี
1.0,เหมือนคนเราหลับตาเล่นกี่ต้าคอร์ฺดบาร์
0.0,เยาวชนดี
1.0,น้อง จบ ดนตรีไทย  แคมบริดซ์  น๊ะ
1.0,ศิลปินยุคเล่นระนาดหรอ
1.0,น้องหัดสีซอ ตู่ฟัง
0.0,  เล่น โรงลิเก 
1.0,ระนาดเขมร กำแพงวัด55555
0.0,ชื่นชม
1.0,เพลงเบสิคตา
1.0,พ่อสอน.
0.0,น้องเล่นเก่ง
1.0,ตาตี...หม้อ.
0.0,น้องเก่ง
1.0,เขมรเคลม
1.0,เอกราช ตาตี   หม้อ เน๊าะ
1.0,เหรอ
0.0,ตร . ดีๆๆๆ งง
0.0,น้อง.
1.0,สวัสดี
1.0,ลมชักรึเปล่า
0.0,สู้
0.0,HBDลุงตู่
1.0,อ่ะ
2.0,ยุบไห้สภา อย่าด่า
0.0,ขนลุก  ชอบเสียงดนตรีไทยชีวิตจิตใจ
1.0,ผมเล่นกีต้าดูคอร์ดดูมือ 
1.0,ตายหรอ
1.0,ซีซอลุงฟัง
1.0,เด็กคนโตมาเป็นผู้ใหญ่แน่นอน
1.0,ตายทุกเวลาสาธุ
1.0,น้องๆ อย่าตีตู่ฟัง ฟังรู้แน่
1.0,หือ รัยอ่ะ  ล้มลางตาย หรา (  วัคซีน ออกฤทธิ์ ป่ะ)
1.0,หยุดขายชาติ ขายแผ่นดิน แลนค์สไลด์ พี่น้อง
0.0,"เก่งลูก,เก่ง"
1.0,ตาโน้นมือคอร์ด 
1.0,ห๊ะ
1.0,ลุง
0.0,ส่งเสริมน้องตีระนาดร่วมกับดนตรีสากลแน่
0.0,ลุงตู่มีพลังดีไทยสงบสุข
1.0,".., ..,. ใม"
1.0,.....
2.0,ทุเรียนแพงมีชื่อเสียง ตามมาข้าวเหนียวมะม่วง แพงเนอะ_ คนไทยซื้อกิน
1.0,อาการนีเกิดขึ้นวัคซีน.....
1.0,"มมมม.ใ... ??,,., ม"
2.0,หนังน้ำเน่า
1.0,คน หน้าใสขยาด
0.0,มีพรสวรรค์ดี รุ่นอาย
1.0,กุขำละครแบบนี้ยังมี
1.0,/หนๆรัดลุง
2.0,ลุงหรอมิน่าเลขแปด
2.0,ดาราไทยชาวบ้านไทยอิน
0.0,หนังดี
1.0,คณะฝีง
0.0,สงเสริม สิ
1.0,cg เด็กอนุบาล
1.0,มัลติเวิสวาคานด้า
1.0,CG เสือฮา
2.0,ซีรีย์ต่างประเทศอวกาศ
0.0,เป็นสุขเป็นสุข
2.0,ย้อนยุค
2.0,ลอกเลียนแบบป่าเสือ
2.0,หยุดขายชาติขายแผ่นดิน แลนค์สไลด์พี่น้อง
2.0,คนดู..ข่าวช่อง 3 ...ลดลง...ไปดูช่องเนชั่น.......
0.0,ชอบCG เสือ
1.0,สวัสดีเช้าอังคาร
0.0,น้องตีระนาดเก่ง
0.0,ไทยสงบคบลุงตู่
1.0,ฝ....
1.0,มุมงใง
1.0,โลกอนาคต มนุษย์กึ่งหุ่นยนตร์
2.0,รู้จักพัฒนา
1.0,เหมือนสร้างละครแนวบุเพ
1.0,สารวัตรโดน
1.0,Ni Ni พกรูปลุงตู่แล้วไปสงบโอ่งไหม
0.0,สุดยอดลูก น่ารักภาพหาดู เดี๋ยวนี้ใหนเด็กเล่นจอ
1.0,หยอก อิอิ
2.0,สงบ ขนาดซีเซียม 137 ขนย้ายรู้เรื่อง
1.0,ฝุ
1.0,บ
2.0,สงบบ้าบอ
1.0,.ง.นค
2.0,บุเพ เน่า เหมือนสลิ่มเก่าบูด
0.0,เรียนเด็กมีโอกาสเก่งขยันซ้อมฝึกอดทนตั้งใจเรียน พ่อแม่ลงทุนลุกเรียนความสามารถพิเศษ กีฬา ดนตรี ภาษา ลุกชอบ
1.0,ทั่วโลกวุ่นวายไทยสงบจบลุงตู่
1.0,ยมฑูต
1.0,สงบ=เกียร์ว่าง
2.0,ตอนนี้ขมรดูถูกประเทศไทยรัฐบาลชุดบริหารประเทศ
2.0,ยุบสภา แดกเหมือนเดิม
2.0,ผลงานลุงคอร์ดชั่น
